Size of Array , Type of Array , Sorting Algorithm , Number of Comparisons, Execution Time
21,Random,Heap,124,1.2e-06
21,Random,Bubble,207,1.6e-06
21,Random,Selection,210,1e-06
21,Random,Insertion,145,1e-06
21,Sorted,Heap,111,9e-07
21,Sorted,Bubble,20,1e-07
21,Sorted,Selection,210,7e-07
21,Sorted,Insertion,20,2e-07
21,Inversely-sorted,Heap,131,1.1e-06
21,Inversely-sorted,Bubble,210,1.5e-06
21,Inversely-sorted,Selection,210,8e-07
21,Inversely-sorted,Insertion,210,1.4e-06
22,Random,Heap,126,1.3e-06
22,Random,Bubble,225,1.5e-06
22,Random,Selection,231,1.1e-06
22,Random,Insertion,147,1e-06
22,Sorted,Heap,118,1e-06
22,Sorted,Bubble,21,2e-07
22,Sorted,Selection,231,6e-07
22,Sorted,Insertion,21,1e-07
22,Inversely-sorted,Heap,139,1.2e-06
22,Inversely-sorted,Bubble,231,1.6e-06
22,Inversely-sorted,Selection,231,9e-07
22,Inversely-sorted,Insertion,231,1.5e-06
23,Random,Heap,135,1.4e-06
23,Random,Bubble,243,1.9e-06
23,Random,Selection,253,1.2e-06
23,Random,Insertion,159,1.1e-06
23,Sorted,Heap,130,1e-06
23,Sorted,Bubble,22,1e-07
23,Sorted,Selection,253,8e-07
23,Sorted,Insertion,22,2e-07
23,Inversely-sorted,Heap,149,1.3e-06
23,Inversely-sorted,Bubble,253,1.8e-06
23,Inversely-sorted,Selection,253,9e-07
23,Inversely-sorted,Insertion,253,1.6e-06
24,Random,Heap,153,1.5e-06
24,Random,Bubble,276,1.9e-06
24,Random,Selection,276,1.2e-06
24,Random,Insertion,166,1.2e-06
24,Sorted,Heap,137,1.1e-06
24,Sorted,Bubble,23,1e-07
24,Sorted,Selection,276,8e-07
24,Sorted,Insertion,23,1e-07
24,Inversely-sorted,Heap,157,1.3e-06
24,Inversely-sorted,Bubble,276,1.8e-06
24,Inversely-sorted,Selection,276,1.1e-06
24,Inversely-sorted,Insertion,276,1.8e-06
25,Random,Heap,159,1.8e-06
25,Random,Bubble,294,2.5e-06
25,Random,Selection,300,1.5e-06
25,Random,Insertion,166,1.5e-06
25,Sorted,Heap,143,1.4e-06
25,Sorted,Bubble,24,1e-07
25,Sorted,Selection,300,1e-06
25,Sorted,Insertion,24,2e-07
25,Inversely-sorted,Heap,167,1.5e-06
25,Inversely-sorted,Bubble,300,2.1e-06
25,Inversely-sorted,Selection,300,1.1e-06
25,Inversely-sorted,Insertion,300,1.9e-06
26,Random,Heap,170,3.3e-06
26,Random,Bubble,319,3e-06
26,Random,Selection,325,1.5e-06
26,Random,Insertion,223,1.5e-06
26,Sorted,Heap,150,1.4e-06
26,Sorted,Bubble,25,1e-07
26,Sorted,Selection,325,8e-07
26,Sorted,Insertion,25,1e-07
26,Inversely-sorted,Heap,175,1.4e-06
26,Inversely-sorted,Bubble,325,2.1e-06
26,Inversely-sorted,Selection,325,1.1e-06
26,Inversely-sorted,Insertion,325,2.1e-06
27,Random,Heap,174,2.2e-06
27,Random,Bubble,341,2.2e-06
27,Random,Selection,351,1.5e-06
27,Random,Insertion,192,1.3e-06
27,Sorted,Heap,161,1.3e-06
27,Sorted,Bubble,26,1e-07
27,Sorted,Selection,351,9e-07
27,Sorted,Insertion,26,1e-07
27,Inversely-sorted,Heap,185,1.5e-06
27,Inversely-sorted,Bubble,351,2.4e-06
27,Inversely-sorted,Selection,351,1.1e-06
27,Inversely-sorted,Insertion,351,2.6e-06
28,Random,Heap,188,1.8e-06
28,Random,Bubble,375,2.5e-06
28,Random,Selection,378,1.5e-06
28,Random,Insertion,193,1.4e-06
28,Sorted,Heap,171,1.3e-06
28,Sorted,Bubble,27,1e-07
28,Sorted,Selection,378,9e-07
28,Sorted,Insertion,27,1e-07
28,Inversely-sorted,Heap,193,1.6e-06
28,Inversely-sorted,Bubble,378,2.9e-06
28,Inversely-sorted,Selection,378,1.3e-06
28,Inversely-sorted,Insertion,378,2.3e-06
29,Random,Heap,194,1.8e-06
29,Random,Bubble,396,2.6e-06
29,Random,Selection,406,2.1e-06
29,Random,Insertion,243,1.6e-06
29,Sorted,Heap,176,1.4e-06
29,Sorted,Bubble,28,2e-07
29,Sorted,Selection,406,1e-06
29,Sorted,Insertion,28,1e-07
29,Inversely-sorted,Heap,203,1.6e-06
29,Inversely-sorted,Bubble,406,2.7e-06
29,Inversely-sorted,Selection,406,1.2e-06
29,Inversely-sorted,Insertion,406,2.6e-06
30,Random,Heap,205,2e-06
30,Random,Bubble,420,2.9e-06
30,Random,Selection,435,1.7e-06
30,Random,Insertion,242,1.7e-06
30,Sorted,Heap,188,1.4e-06
30,Sorted,Bubble,29,1e-07
30,Sorted,Selection,435,1.1e-06
30,Sorted,Insertion,29,1e-07
30,Inversely-sorted,Heap,211,1.8e-06
30,Inversely-sorted,Bubble,435,2.9e-06
30,Inversely-sorted,Selection,435,1.3e-06
30,Inversely-sorted,Insertion,435,2.7e-06
